researcher_id,full_name,faculty_id,primary_program_id,academic_background,profile_summary,research_interests,methodological_expertise,application_domains,years_experience,active
INV-162,Elena Ortiz Ospina,FAC-006,PRG-017,PhD en área afín a instrumentación; formación profesional relacionada con Física.,"Investigador con experiencia en instrumentación y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",instrumentación; series temporales,modelos probabilísticos; simulación,series temporales; series temporales,4,True
INV-163,Carlos Suárez Mendoza,FAC-006,PRG-018,MSc en área afín a series temporales; formación profesional relacionada con Ciencia de Datos.,"Investigador con experiencia en series temporales y IA explicable, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",series temporales; IA explicable,diseño experimental; modelamiento estadístico,IA explicable; IA explicable,7,True
INV-164,Sofía Hernández Rodríguez,FAC-006,PRG-016,PhD en área afín a series temporales; formación profesional relacionada con Matemáticas Aplicadas.,"Investigador con experiencia en series temporales y ciencia de datos, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",series temporales; ciencia de datos,series temporales; modelos probabilísticos,ciencia de datos; modelamiento matemático,10,True
INV-165,Sebastián Cardona Quintero,FAC-006,PRG-016,MSc en área afín a modelamiento matemático; formación profesional relacionada con Matemáticas Aplicadas.,"Investigador con experiencia en modelamiento matemático y IA explicable, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",modelamiento matemático; IA explicable,series temporales; diseño experimental,IA explicable; ciencia de datos,13,True
INV-166,Lucía Cruz Pérez,FAC-006,PRG-018,PhD en área afín a NLP; formación profesional relacionada con Ciencia de Datos.,"Investigador con experiencia en NLP y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",NLP; series temporales,análisis causal; simulación,series temporales; instrumentación,16,True
INV-167,Tomás Torres Cárdenas,FAC-006,PRG-016,PhD en área afín a modelamiento matemático; formación profesional relacionada con Matemáticas Aplicadas.,"Investigador con experiencia en modelamiento matemático y ciencia de datos, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",modelamiento matemático; ciencia de datos,optimización; análisis causal,ciencia de datos; NLP,19,True
INV-168,Camila Quintero Castro,FAC-006,PRG-017,MSc en área afín a NLP; formación profesional relacionada con Física.,"Investigador con experiencia en NLP y ciencia de datos, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",NLP; ciencia de datos,análisis causal; procesamiento de señales,ciencia de datos; series temporales,4,True
INV-169,Ricardo Giraldo Cruz,FAC-006,PRG-016,PhD en área afín a modelamiento matemático; formación profesional relacionada con Matemáticas Aplicadas.,"Investigador con experiencia en modelamiento matemático y IA explicable, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",modelamiento matemático; IA explicable,clasificación supervisada; recuperación de información,IA explicable; IA explicable,7,True
INV-170,Carolina Rojas Silva,FAC-006,PRG-017,MSc en área afín a series temporales; formación profesional relacionada con Física.,"Investigador con experiencia en series temporales y NLP, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",series temporales; NLP,procesamiento de señales; diseño experimental,NLP; modelamiento matemático,10,True
INV-171,Nicolás Arias Gómez,FAC-006,PRG-016,PhD en área afín a IA explicable; formación profesional relacionada con Matemáticas Aplicadas.,"Investigador con experiencia en IA explicable y NLP, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",IA explicable; NLP,modelamiento estadístico; análisis causal,NLP; ciencia de datos,13,True
INV-172,Laura Martínez Salazar,FAC-006,PRG-018,PhD en área afín a series temporales; formación profesional relacionada con Ciencia de Datos.,"Investigador con experiencia en series temporales y ciencia de datos, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",series temporales; ciencia de datos,simulación; optimización,ciencia de datos; instrumentación,16,True
INV-173,Jorge Silva Hernández,FAC-006,PRG-018,MSc en área afín a IA explicable; formación profesional relacionada con Ciencia de Datos.,"Investigador con experiencia en IA explicable y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",IA explicable; series temporales,optimización; recuperación de información,series temporales; NLP,19,True
INV-174,Juliana Navarro Arias,FAC-006,PRG-017,PhD en área afín a series temporales; formación profesional relacionada con Física.,"Investigador con experiencia en series temporales y ciencia de datos, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",series temporales; ciencia de datos,simulación; series temporales,ciencia de datos; series temporales,4,True
INV-175,David Pérez Vargas,FAC-006,PRG-016,MSc en área afín a ciencia de datos; formación profesional relacionada con Matemáticas Aplicadas.,"Investigador con experiencia en ciencia de datos y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",ciencia de datos; series temporales,series temporales; clasificación supervisada,series temporales; IA explicable,7,True
INV-176,María Restrepo Acosta,FAC-006,PRG-018,PhD en área afín a series temporales; formación profesional relacionada con Ciencia de Datos.,"Investigador con experiencia en series temporales y IA explicable, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",series temporales; IA explicable,modelamiento estadístico; modelos probabilísticos,IA explicable; modelamiento matemático,10,True
INV-177,Felipe Ospina Ortiz,FAC-006,PRG-016,PhD en área afín a IA explicable; formación profesional relacionada con Matemáticas Aplicadas.,"Investigador con experiencia en IA explicable y instrumentación, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",IA explicable; instrumentación,procesamiento de señales; análisis causal,instrumentación; ciencia de datos,13,True
INV-178,Diana Vargas Giraldo,FAC-006,PRG-018,MSc en área afín a instrumentación; formación profesional relacionada con Ciencia de Datos.,"Investigador con experiencia en instrumentación y NLP, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",instrumentación; NLP,optimización; series temporales,NLP; instrumentación,16,True
INV-179,Santiago Mejía Restrepo,FAC-006,PRG-017,PhD en área afín a instrumentación; formación profesional relacionada con Física.,"Investigador con experiencia en instrumentación y series temporales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",instrumentación; series temporales,modelamiento estadístico; simulación,series temporales; NLP,19,True
INV-180,Ana Gómez López,FAC-006,PRG-017,MSc en área afín a IA explicable; formación profesional relacionada con Física.,"Investigador con experiencia en IA explicable y instrumentación, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",IA explicable; instrumentación,recuperación de información; optimización,instrumentación; series temporales,4,True
